id,order_id,dish_id,dish_name_snapshot,quantity,unit_price_vnd,subtotal_vnd,notes
1,1,1,Bánh mì hoa cúc,1,65000,65000,
2,2,8,Macaron pastel,2,25000,50000,
3,2,11,Bánh kem sinh nhật 16cm,3,380000,1140000,
4,3,15,Bánh mì baguette,3,32000,96000,
5,3,18,Bánh kem matcha,1,360000,360000,
6,3,21,Bánh mousse xoài,2,110000,220000,
7,4,22,Cheesecake New York,1,95000,95000,
8,4,25,Bánh chuối nướng,2,85000,170000,
9,4,28,Bánh quy bơ,3,8000,24000,
10,4,31,Bánh quy hạnh nhân,1,14000,14000,
11,5,29,Bánh cracker mặn,2,6000,12000,
12,5,32,Roll cake matcha,3,145000,435000,
13,5,35,Bánh kem hoa kem tươi,1,420000,420000,
14,5,38,Bánh tart phô mai,2,42000,84000,
15,5,41,Mini cupcake set 12,3,295000,885000,
16,6,36,Bánh kem fondant,3,580000,1740000,
17,7,43,Bánh mì sandwich tuna,1,42000,42000,
18,7,46,Bánh kem mousse trà xanh,2,360000,720000,
19,8,50,Bánh kem cốm,2,320000,640000,
20,8,53,Bánh chuối hấp,3,22000,66000,
21,8,56,Bánh patê chaud,1,28000,28000,
22,9,57,Cà phê đen đá,3,25000,75000,
23,9,60,Trà sữa,1,38000,38000,
24,9,3,Tart trứng nướng,2,22000,44000,
25,9,6,Tiramisu Ý,3,95000,285000,
26,10,4,Cupcake socola,1,35000,35000,
27,10,7,Croissant bơ Pháp,2,38000,76000,
28,10,10,Phô mai cuộn,3,42000,126000,
29,10,13,Bánh kem sinh nhật 24cm,1,680000,680000,
30,10,16,Bánh donut socola,2,28000,56000,
31,11,11,Bánh kem sinh nhật 16cm,2,380000,760000,
32,12,18,Bánh kem matcha,3,360000,1080000,
33,12,21,Bánh mousse xoài,1,110000,110000,
34,13,25,Bánh chuối nướng,1,85000,85000,
35,13,28,Bánh quy bơ,2,8000,16000,
36,13,31,Bánh quy hạnh nhân,3,14000,42000,
37,14,32,Roll cake matcha,2,145000,290000,
38,14,35,Bánh kem hoa kem tươi,3,420000,1260000,
39,14,38,Bánh tart phô mai,1,42000,42000,
40,14,41,Mini cupcake set 12,2,295000,590000,
41,15,39,Bánh hamberger nhỏ,3,35000,105000,
42,15,42,Bánh mì sandwich gà nướng,1,45000,45000,
43,15,45,Bánh kem mousse cà phê,2,360000,720000,
44,15,48,Bánh trung thu nướng,3,65000,195000,
45,15,51,Bánh kem dừa,1,280000,280000,
46,16,46,Bánh kem mousse trà xanh,1,360000,360000,
47,17,53,Bánh chuối hấp,2,22000,44000,
48,17,56,Bánh patê chaud,3,28000,84000,
49,18,60,Trà sữa,3,38000,114000,
50,18,3,Tart trứng nướng,1,22000,22000,
51,18,6,Tiramisu Ý,2,95000,190000,
52,19,7,Croissant bơ Pháp,1,38000,38000,
53,19,10,Phô mai cuộn,2,42000,84000,
54,19,13,Bánh kem sinh nhật 24cm,3,680000,2040000,
55,19,16,Bánh donut socola,1,28000,28000,
56,20,14,Bánh tart hoa quả,2,280000,560000,
57,20,17,Bánh donut đường,3,25000,75000,
58,20,20,Bánh mousse chanh dây,1,110000,110000,
59,20,23,Cheesecake matcha,2,95000,190000,
60,20,26,Cookie chocolate chip,3,12000,36000,
61,21,21,Bánh mousse xoài,3,110000,330000,
62,22,28,Bánh quy bơ,1,8000,8000,
63,22,31,Bánh quy hạnh nhân,2,14000,28000,
64,23,35,Bánh kem hoa kem tươi,2,420000,840000,
65,23,38,Bánh tart phô mai,3,42000,126000,
66,23,41,Mini cupcake set 12,1,295000,295000,
67,24,42,Bánh mì sandwich gà nướng,3,45000,135000,
68,24,45,Bánh kem mousse cà phê,1,360000,360000,
69,24,48,Bánh trung thu nướng,2,65000,130000,
70,24,51,Bánh kem dừa,3,280000,840000,
71,25,49,Bánh trung thu dẻo,1,62000,62000,
72,25,52,Bánh xèo ngọt,2,25000,50000,
73,25,55,Bánh bao ngọt,3,18000,54000,
74,25,58,Cà phê sữa đá,1,30000,30000,
75,25,1,Bánh mì hoa cúc,2,65000,130000,
76,26,56,Bánh patê chaud,2,28000,56000,
77,27,3,Tart trứng nướng,3,22000,66000,
78,27,6,Tiramisu Ý,1,95000,95000,
79,28,10,Phô mai cuộn,1,42000,42000,
80,28,13,Bánh kem sinh nhật 24cm,2,680000,1360000,
81,28,16,Bánh donut socola,3,28000,84000,
82,29,17,Bánh donut đường,2,25000,50000,
83,29,20,Bánh mousse chanh dây,3,110000,330000,
84,29,23,Cheesecake matcha,1,95000,95000,
85,29,26,Cookie chocolate chip,2,12000,24000,
86,30,24,Bánh flan,3,18000,54000,
87,30,27,Cookie bơ đậu phộng,1,12000,12000,
88,30,30,Pretzel mềm,2,35000,70000,
89,30,33,Roll cake socola,3,145000,435000,
90,30,36,Bánh kem fondant,1,580000,580000,
91,31,31,Bánh quy hạnh nhân,1,14000,14000,
92,32,38,Bánh tart phô mai,2,42000,84000,
93,32,41,Mini cupcake set 12,3,295000,885000,
94,33,45,Bánh kem mousse cà phê,3,360000,1080000,
95,33,48,Bánh trung thu nướng,1,65000,65000,
96,33,51,Bánh kem dừa,2,280000,560000,
97,34,52,Bánh xèo ngọt,1,25000,25000,
98,34,55,Bánh bao ngọt,2,18000,36000,
99,34,58,Cà phê sữa đá,3,30000,90000,
100,34,1,Bánh mì hoa cúc,1,65000,65000,
101,35,59,Trà đào,2,35000,70000,
102,35,2,Bánh su kem,3,18000,54000,
103,35,5,Bánh kem dâu tươi,1,320000,320000,
104,35,8,Macaron pastel,2,25000,50000,
105,35,11,Bánh kem sinh nhật 16cm,3,380000,1140000,
106,36,6,Tiramisu Ý,3,95000,285000,
107,37,13,Bánh kem sinh nhật 24cm,1,680000,680000,
108,37,16,Bánh donut socola,2,28000,56000,
109,38,20,Bánh mousse chanh dây,2,110000,220000,
110,38,23,Cheesecake matcha,3,95000,285000,
111,38,26,Cookie chocolate chip,1,12000,12000,
112,39,27,Cookie bơ đậu phộng,3,12000,36000,
113,39,30,Pretzel mềm,1,35000,35000,
114,39,33,Roll cake socola,2,145000,290000,
115,39,36,Bánh kem fondant,3,580000,1740000,
116,40,34,Bánh tiramisu cốc,1,55000,55000,
117,40,37,Bánh tart chanh,2,38000,76000,
118,40,40,Mini cupcake set 6,3,165000,495000,
119,40,43,Bánh mì sandwich tuna,1,42000,42000,
120,40,46,Bánh kem mousse trà xanh,2,360000,720000,
121,41,41,Mini cupcake set 12,2,295000,590000,
122,42,48,Bánh trung thu nướng,3,65000,195000,
123,42,51,Bánh kem dừa,1,280000,280000,
124,43,55,Bánh bao ngọt,1,18000,18000,
125,43,58,Cà phê sữa đá,2,30000,60000,
126,43,1,Bánh mì hoa cúc,3,65000,195000,
127,44,2,Bánh su kem,2,18000,36000,
128,44,5,Bánh kem dâu tươi,3,320000,960000,
129,44,8,Macaron pastel,1,25000,25000,
130,44,11,Bánh kem sinh nhật 16cm,2,380000,760000,
131,45,9,Bánh bông lan trứng muối,3,165000,495000,
132,45,12,Bánh kem sinh nhật 20cm,1,520000,520000,
133,45,15,Bánh mì baguette,2,32000,64000,
134,45,18,Bánh kem matcha,3,360000,1080000,
135,45,21,Bánh mousse xoài,1,110000,110000,
136,46,16,Bánh donut socola,1,28000,28000,
137,47,23,Cheesecake matcha,2,95000,190000,
138,47,26,Cookie chocolate chip,3,12000,36000,
139,48,30,Pretzel mềm,3,35000,105000,
140,48,33,Roll cake socola,1,145000,145000,
141,48,36,Bánh kem fondant,2,580000,1160000,
142,49,37,Bánh tart chanh,1,38000,38000,
143,49,40,Mini cupcake set 6,2,165000,330000,
144,49,43,Bánh mì sandwich tuna,3,42000,126000,
145,49,46,Bánh kem mousse trà xanh,1,360000,360000,
146,50,44,Bánh mì sandwich phô mai,2,38000,76000,
147,50,47,Bánh kem rau câu,3,280000,840000,
148,50,50,Bánh kem cốm,1,320000,320000,
149,50,53,Bánh chuối hấp,2,22000,44000,
150,50,56,Bánh patê chaud,3,28000,84000,
151,51,51,Bánh kem dừa,3,280000,840000,
152,52,58,Cà phê sữa đá,1,30000,30000,
153,52,1,Bánh mì hoa cúc,2,65000,130000,
154,53,5,Bánh kem dâu tươi,2,320000,640000,
155,53,8,Macaron pastel,3,25000,75000,
156,53,11,Bánh kem sinh nhật 16cm,1,380000,380000,
157,54,12,Bánh kem sinh nhật 20cm,3,520000,1560000,
158,54,15,Bánh mì baguette,1,32000,32000,
159,54,18,Bánh kem matcha,2,360000,720000,
160,54,21,Bánh mousse xoài,3,110000,330000,
161,55,19,Bánh kem socola,1,350000,350000,
162,55,22,Cheesecake New York,2,95000,190000,
163,55,25,Bánh chuối nướng,3,85000,255000,
164,55,28,Bánh quy bơ,1,8000,8000,
165,55,31,Bánh quy hạnh nhân,2,14000,28000,
166,56,26,Cookie chocolate chip,2,12000,24000,
167,57,33,Roll cake socola,3,145000,435000,
168,57,36,Bánh kem fondant,1,580000,580000,
169,58,40,Mini cupcake set 6,1,165000,165000,
170,58,43,Bánh mì sandwich tuna,2,42000,84000,
171,58,46,Bánh kem mousse trà xanh,3,360000,1080000,
172,59,47,Bánh kem rau câu,2,280000,560000,
173,59,50,Bánh kem cốm,3,320000,960000,
174,59,53,Bánh chuối hấp,1,22000,22000,
175,59,56,Bánh patê chaud,2,28000,56000,
176,60,54,Bánh khoai mì nướng,3,28000,84000,
177,60,57,Cà phê đen đá,1,25000,25000,
178,60,60,Trà sữa,2,38000,76000,
179,60,3,Tart trứng nướng,3,22000,66000,
180,60,6,Tiramisu Ý,1,95000,95000,
